advertiser,brand,media_group,media,media_owner,dow,national_local,market,program,program_genre,daypart,property,flight_date,spend_usd,units
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,TOTAL_US,DP WORLD TOUR GOLF,SPORTS,Saturday Morning,GOLF,2025-02-01,1182.0,1.0
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,TOTAL_US,DP WORLD TOUR GOLF,SPORTS,Weekend Afternoon,GOLF,2025-02-01,732.0,1.0
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,TOTAL_US,DP WORLD TOUR GOLF,SPORTS,Early Fringe,GOLF,2025-02-01,732.0,1.0
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,TOTAL_US,PEBBLE BEACH NATL PRO-AM,SPORTS,Sunday Morning,GOLF,2025-02-01,591.0,1.0
Chomps,Chomps,Television,Cable TV,Warner Bros Discovery Inc,Wednesday,NATIONAL,TOTAL_US,MEXICO LIFE,ENTERTAINMENT,Early Morning,HGTV,2025-02-01,1377.0,2.0
Chomps,Chomps,Television,Cable TV,Warner Bros Discovery Inc,Thursday,NATIONAL,TOTAL_US,CELEBRITY IOU,ENTERTAINMENT,Early Morning,HGTV,2025-02-01,1487.0,2.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,TOTAL_US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Early News,A&E,2025-03-01,878.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,TOTAL_US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Prime Access,A&E,2025-03-01,2698.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,TOTAL_US,ROOKIE SHOW,ENTERTAINMENT,Late Fringe,LIFE,2025-03-01,664.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,TOTAL_US,ROOKIE SHOW,ENTERTAINMENT,Overnight,LIFE,2025-03-01,488.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,TOTAL_US,WOMAN WITH MY FACE,ENTERTAINMENT,Late News,LIFE,2025-03-01,1643.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,TOTAL_US,WOMAN WITH MY FACE,ENTERTAINMENT,Late Fringe,LIFE,2025-03-01,1643.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,TOTAL_US,WOMAN WITH MY FACE,ENTERTAINMENT,Overnight,LIFE,2025-03-01,1154.0,2.0
