advertiser,brand_root,brand_major,brand_minor,brand_leaf,publisher,date,channel,top_level_category,placement,spend_usd,impressions
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,OTT Streaming Services (General),2025-07-01,OTT,Consumer Packaged Goods,In-Stream,14401.4,585358
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Facebook,2025-07-01,Facebook,Consumer Packaged Goods,Reels,1596.4,225537
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Facebook,2025-07-01,Facebook,Consumer Packaged Goods,Feed,19823.59,2800672
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Facebook,2025-07-01,Facebook,Consumer Packaged Goods,Stories,4696.23,663485
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,YouTube,2025-07-01,Desktop Display,Consumer Packaged Goods,Other,255.35,27014
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,YouTube,2025-07-01,YouTube,Consumer Packaged Goods,Feed,51.25,34725
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,YouTube,2025-07-01,YouTube,Consumer Packaged Goods,In-Stream,2459.04,1116358
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Instagram,2025-07-01,Instagram,Consumer Packaged Goods,Stories,5970.03,726066
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Instagram,2025-07-01,Instagram,Consumer Packaged Goods,Reels,335.76,40835
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Instagram,2025-07-01,Instagram,Consumer Packaged Goods,Feed,2897.12,352347
"Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.",Facebook,2025-07-01,Facebook,<uncategorized>,Feed,2438.41,344498
"Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.",Facebook,2025-07-01,Facebook,<uncategorized>,Reels,538.98,76148
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Facebook,2025-07-01,Facebook,Consumer Packaged Goods,Stories,36801.4,5199281
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Facebook,2025-07-01,Facebook,Consumer Packaged Goods,Reels,52297.78,7388618
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Facebook,2025-07-01,Facebook,Consumer Packaged Goods,Feed,61587.62,8701065
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),YouTube,2025-07-01,YouTube,Consumer Packaged Goods,In-Stream,2017.54,121320
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Hulu,2025-07-01,OTT,Consumer Packaged Goods,In-Stream,505106.54,15644726
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),slickdeals.net,2025-07-01,Desktop Display,Consumer Packaged Goods,Other,139.31,29841
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),screenrant.com,2025-07-01,Desktop Video,Consumer Packaged Goods,Other,228.95,49832
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Instagram,2025-07-01,Instagram,Consumer Packaged Goods,Feed,23066.41,2805329
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Instagram,2025-07-01,Instagram,Consumer Packaged Goods,Stories,14687.49,1786284
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Instagram,2025-07-01,Instagram,Consumer Packaged Goods,Reels,75439.89,9174941
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),androidpolice.com,2025-07-01,Desktop Video,Consumer Packaged Goods,Other,89.71,9927
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Pluto TV,2025-07-01,OTT,Consumer Packaged Goods,In-Stream,7075.56,300840
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Tubi,2025-07-01,OTT,Consumer Packaged Goods,In-Stream,84733.83,3342843
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Peacock,2025-07-01,OTT,Consumer Packaged Goods,In-Stream,27562.62,639423
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Paramount+,2025-07-01,OTT,Consumer Packaged Goods,In-Stream,10894.36,436964
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),OTT Streaming Services (General),2025-07-01,OTT,Consumer Packaged Goods,In-Stream,55200.19,2243663
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),cbr.com,2025-07-01,Desktop Video,Consumer Packaged Goods,Other,112.1,22666
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Amazon Prime Video,2025-07-01,OTT,Consumer Packaged Goods,In-Stream,184603.48,5345204
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Disney+,2025-07-01,OTT,Consumer Packaged Goods,In-Stream,185412.57,4138812
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Facebook,2025-07-01,Facebook,Food & Dining Services,Feed,14414.7,2036511
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Facebook,2025-07-01,Facebook,Food & Dining Services,Reels,265.23,37472
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Facebook,2025-07-01,Facebook,Food & Dining Services,Stories,1358.73,191961
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Instagram,2025-07-01,Instagram,Food & Dining Services,Reels,332.0,40377
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Instagram,2025-07-01,Instagram,Food & Dining Services,Feed,1042.02,126730
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Instagram,2025-07-01,Instagram,Food & Dining Services,Stories,661.34,80433
